station,time,start_time,end_time,probability,phase,amp_z,amp_n,amp_e,nos_z,nos_n,nos_e,rms_z,rms_n,rms_e,snr_z,snr_n,snr_e,source
IC.LSA,2008-10-01 17:16:38.123300,2008-10-01 17:16:37.903300,2008-10-01 17:16:38.603300,0.21573062,P,1.432654650024891e-08,1.0849040535963915e-08,8.773868423471742e-09,4.481704136445964e-09,2.801711120744983e-09,2.9217780373331223e-09,6.822293269620885e-09,4.890011637155488e-09,4.261950092701745e-09,1.5059981956759327,1.4299511930897826,1.8991494809824019,diting
IC.LSA,2008-10-01 17:19:16.563300,2008-10-01 17:19:16.383300,2008-10-01 17:19:16.783300,0.0775432,P,5.813435686732938e-09,7.418397182286676e-09,4.937147903385207e-09,3.511970939233275e-09,2.723489236012283e-09,2.7914154428907644e-09,2.49929719500893e-09,2.0207785766664965e-09,2.465476166490187e-09,1.7694297913560377,0.8227165428443496,1.474759593779975,diting
IC.LSA,2008-10-01 17:23:41.243300,2008-10-01 17:23:41.223300,2008-10-01 17:23:41.603300,0.1033334,P,2.3078578043536546e-08,7.357934298841384e-09,1.0281533949770019e-08,8.61697971707575e-09,2.3069309684202492e-09,2.711540270508359e-09,6.714078008502493e-09,4.5122564895207326e-09,5.407185765907354e-09,1.4202835129210154,1.0038950274189338,1.6880540256614602,diting
IC.LSA,2008-10-01 17:25:06.823300,2008-10-01 17:25:06.783300,2008-10-01 17:25:07.103300,0.102497526,P,1.823113065965721e-08,8.355578946518558e-09,1.0436737482630134e-08,1.540977461912366e-08,8.592872089237553e-09,8.728325518943071e-09,7.708273183456447e-09,4.999516943835837e-09,5.4877850226794405e-09,1.471263329524136,1.107371200955885,1.3423475101143114,diting
IC.LSA,2008-10-01 17:28:04.983300,2008-10-01 17:28:04.763300,2008-10-01 17:28:05.343300,0.19245587,P,1.3933142956677941e-08,6.9052537629427125e-09,7.813506584236263e-09,5.990078950996448e-09,3.436311250304922e-09,3.433251225309067e-09,7.373958331246879e-09,3.000582006666066e-09,4.093988407594961e-09,2.746044794567488,2.1403395012648563,2.18121527575031,diting
IC.LSA,2008-10-01 17:34:18.883300,2008-10-01 17:34:18.723300,2008-10-01 17:34:19.203300,0.102831185,P,4.468678483149797e-09,8.488513945623102e-09,9.70797118342746e-09,2.7659468348641836e-09,3.931793596592846e-09,2.1570927901005726e-09,2.3583146500416284e-09,3.6908508988660746e-09,3.7863773647849645e-09,1.975548851273348,1.2148029017149136,1.5050827912849987,diting
IC.LSA,2008-10-01 17:44:42.083300,2008-10-01 17:44:42.023300,2008-10-01 17:44:42.323300,0.078794874,P,8.422939803479912e-09,7.800791595642698e-09,5.084873694313366e-09,3.991239130084104e-09,5.004880209556602e-09,3.255592387827062e-09,3.9938152483411024e-09,2.8378756039699905e-09,2.709015975410995e-09,1.596632350944932,1.7833779183174374,1.3738060244615227,diting
IC.LSA,2008-10-01 17:47:38.563300,2008-10-01 17:47:38.343300,2008-10-01 17:47:38.803300,0.08622464,P,1.1345622332843557e-08,6.752865236216197e-09,5.48507543530113e-09,4.383586607392594e-09,3.837284192511329e-09,3.669579282460444e-09,6.26731450784887e-09,3.2445043467797998e-09,2.869277350846013e-09,1.8833240883350346,1.406922953838079,0.742827267148528,diting
IC.LSA,2008-10-01 17:50:58.623300,2008-10-01 17:50:58.463300,2008-10-01 17:50:58.903300,0.23035967,P,9.293472545113396e-09,1.189944597042676e-08,7.687733406412935e-09,5.578660667240761e-09,2.406879651782021e-09,3.678078166679245e-09,3.244619794229982e-09,5.02362480931169e-09,4.094555325123228e-09,2.0422186669969506,1.8982717565896665,1.1773117427646898,diting
IC.LSA,2008-10-01 17:52:41.143300,2008-10-01 17:52:40.803300,2008-10-01 17:52:41.483300,0.186253,P,9.832929107306101e-09,1.0208608091351077e-08,8.788008510566011e-09,4.638074182849355e-09,2.9972986482096573e-09,3.0589435526810397e-09,4.889781395293401e-09,4.223375671382027e-09,2.9925318083374354e-09,1.3630041842065457,1.1175303927005364,1.4100987493875143,diting
IC.LSA,2008-10-01 17:56:39.863300,2008-10-01 17:56:39.663300,2008-10-01 17:56:40.143300,0.07650995,P,1.048076788129464e-08,1.2518907126653837e-08,8.671637827756014e-09,3.4586564396659257e-09,2.9719662320337612e-09,1.9327346467864977e-09,4.508968904619734e-09,7.0078408861250225e-09,4.515811429859379e-09,2.166690793627216,2.216527946011351,1.8162787469747486,diting
IC.LSA,2008-10-01 18:02:17.463300,2008-10-01 18:02:17.443300,2008-10-01 18:02:17.683300,0.2097308,P,1.0559734442993134e-08,7.907606377466532e-09,7.8444447078382e-09,3.371378281606041e-09,2.5897284162932253e-09,1.923817656167095e-09,4.5333757432229835e-09,3.5894908439426983e-09,3.7571549822482705e-09,1.843146021032925,1.8790707592412526,1.030170843364303,diting
IC.LSA,2008-10-01 18:04:33.803300,2008-10-01 18:04:33.743300,2008-10-01 18:04:34.123300,0.087094374,P,6.180540661128053e-09,7.924956389207193e-09,6.668875560237729e-09,3.4615173745671437e-09,2.596458903269941e-09,3.80574224690935e-09,3.7033098113484375e-09,3.4894864862657014e-09,3.6082873354053755e-09,1.6360300015909388,1.680993428006089,0.9358344209822782,diting
IC.LSA,2008-10-01 18:05:20.243300,2008-10-01 18:05:20.063300,2008-10-01 18:05:20.683300,0.20199677,P,1.1614589384586826e-08,9.308055391187922e-09,5.377427649996981e-09,3.950787856265674e-09,3.6083234867730032e-09,2.545307231195447e-09,5.004121800105796e-09,4.4485603810335694e-09,2.838582382903573e-09,2.5306116475658107,1.8421231366815005,1.1769643464460295,diting
IC.LSA,2008-10-01 18:06:40.343300,2008-10-01 18:06:40.243300,2008-10-01 18:06:41.463300,0.11494627,P,9.856546442515066e-09,1.5446845747970928e-08,1.1498007582429804e-08,4.4474990990794716e-09,4.75331059306821e-09,3.300625794228453e-09,5.0381487968471205e-09,5.84659284808281e-09,5.49650606889413e-09,0.9508596719176764,1.2811376648162316,0.8180612043600219,diting
IC.LSA,2008-10-01 18:08:51.303300,2008-10-01 18:08:51.023300,2008-10-01 18:08:52.163300,0.16338122,P,6.029471525895545e-09,9.818991937775917e-09,7.379418083984363e-09,3.372229113849137e-09,4.0937196995113465e-09,2.7021993000311183e-09,3.529861653375964e-09,3.3198014572847854e-09,2.976530693569519e-09,1.574883815777552,1.817417677790276,1.6208515056688229,diting
IC.LSA,2008-10-01 18:23:41.063300,2008-10-01 18:23:40.663300,2008-10-01 18:23:41.603300,0.19278853,P,5.321302131287239e-09,8.167414189358686e-09,8.232412087855716e-09,5.465930760377906e-09,3.2947931820317265e-09,3.627373021259238e-09,4.800236199329817e-09,4.879164265022072e-09,4.209126477171034e-09,1.9762096258157207,2.210992134094371,1.2639987270409923,diting
IC.LSA,2008-10-01 18:28:47.363300,2008-10-01 18:28:46.543300,2008-10-01 18:28:47.663300,0.17894033,P,7.408406422378574e-09,7.095448302626135e-09,4.711235797473804e-09,3.8721331474751455e-09,3.6676903159121594e-09,2.0807456168456867e-09,3.73170965124668e-09,2.4440118938697826e-09,2.2481470792190536e-09,1.645477704007207,1.3886401944358853,1.85892652773718,diting
IC.LSA,2008-10-01 21:23:02.963300,2008-10-01 21:23:02.903300,2008-10-01 21:23:03.283300,0.07875812,P,1.0198312733009475e-08,8.395899079697474e-09,4.8096712517406725e-09,3.787682122798955e-09,2.940364791063464e-09,1.7703387351788143e-09,6.841332985623788e-09,3.4524231324759344e-09,2.3306404803069173e-09,1.9492391231853443,1.312046264654528,1.7740999474670667,diting
IC.LSA,2008-10-01 21:49:10.383300,2008-10-01 21:49:10.203300,2008-10-01 21:49:10.743300,0.15155454,P,6.418937159799846e-08,2.3258318174658003e-08,1.6363256648253447e-08,5.0931960768713445e-09,4.323325363089254e-09,3.771991582331076e-09,3.212654354063829e-08,1.703239553694599e-08,1.2613789387251746e-08,5.131070918284068,4.202683549250118,2.694208133229792,diting
IC.LSA,2008-10-01 22:00:47.823300,2008-10-01 22:00:47.803300,2008-10-01 22:00:48.043300,0.08972227,P,5.35778868093333e-09,8.057284637793211e-09,6.222186223398243e-09,3.1408150297032704e-09,2.5673311338703573e-09,2.3164038207971168e-09,2.1809234877792376e-09,3.767343145338774e-09,3.0717184516573975e-09,1.1214320471316115,1.0335941217241655,0.7662271670017633,diting
